title,employer,address,min_salary,max_salary,currency,link
Data engineer,ТОО АтырауТехИнвест,Нур-Султан,,,,https://hh.kz/vacancy/52614523?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
React Native Team Lead,DataArt,Нур-Султан,,,,https://hh.kz/vacancy/52617549?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Executive, Financing, Deal Advisory",ТОО KPMG,Алматы,,,,https://hh.kz/vacancy/51011274?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Data Architect, Financial Systems",DataArt,Алматы,,,,https://hh.kz/vacancy/52622156?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Java Engineer, Investment Management Solution",DataArt,Алматы,,,,https://hh.kz/vacancy/52582898?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Data engineer,ТОО АтырауТехИнвест,Алматы,,,,https://hh.kz/vacancy/52614524?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Data engineer,ТОО АтырауТехИнвест,Атырау,,,,https://hh.kz/vacancy/52614525?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Executive Managing Director for International Recruiting Agency,ТОО Автодом-М,Атырау,,,,https://hh.kz/vacancy/52312298?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Маркетолог (на период декретного отпуска),ТОО In oil LTD KZ,Нур-Султан,,,,https://hh.kz/vacancy/52336432?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Hotel Sales Executive,ТОО Кульсарыгаз,Атырау,,,,https://hh.kz/vacancy/52340545?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Intern in Fixed Assets group,ТОО EY (Ernst & Young),Алматы,,,,https://hh.kz/vacancy/51041696?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Digital маркетинг менеджер (таргетолог),ТОО Букмекерская компания 1XBET,Алматы,,,,https://hh.kz/vacancy/52292731?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Lead UA Manager, Lead UAM, Lead Media Buyer, Lead PPC",Playrix,Нур-Султан,,,,https://hh.kz/vacancy/52218649?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Project Sourcing Manager,ТОО Электровоз құрастыру зауыты,Нур-Султан,,,,https://hh.kz/vacancy/51456389?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
HR Recruitment Specialist,ТОО Бюро Веритас Казахстан Индастриал Сервисез,Атырау,,,,https://hh.kz/vacancy/52251019?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Logistics Manager,ТОО Caspian International Restaurants company,Алматы,,,,https://hh.kz/vacancy/52242503?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
СММ менеджер,ТОО STEM Academia,Нур-Султан,100000,,KZT,https://hh.kz/vacancy/52226834?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Business Analyst / Proxy Product Owner (Middle/Senior),ТОО АтырауТехИнвест,Алматы,,,,https://hh.kz/vacancy/52190307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Financial Controlling Specialist,АО ИП Эфес Казахстан,Алматы,,,,https://hh.kz/vacancy/52208550?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Data Analyst,ТОО ЮСС Супорт Сервисез,Атырау,,,,https://hh.kz/vacancy/52174020?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
E-commerce Specialist,Tefal,Алматы,,,,https://hh.kz/vacancy/52157391?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
СММ - менеджер,ТОО ASTANA PRODUCTION LLC,Нур-Султан,200000,,KZT,https://hh.kz/vacancy/52204391?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior .NET with Java, Investment Management Solutions",DataArt,Нур-Султан,,,,https://hh.kz/vacancy/49308264?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SMM-менеджер,ТОО ТИКЕТС КЗ,Алматы,,,,https://hh.kz/vacancy/52189349?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior .NET with Java, Investment Management Solutions",DataArt,Алматы,,,,https://hh.kz/vacancy/49308263?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Cost controller,ТОО Консорциум Isker,Атырау,,,,https://hh.kz/vacancy/52189994?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Старший менеджер по продвижению продукта (Simply),"Beeline, ТМ",Алматы,,,,https://hh.kz/vacancy/52175021?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Accountant - Vendor Management Group - Finance Department,"Deloitte, Caspian Region","Алматы, Абая",,,,https://hh.kz/vacancy/52194807?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Material Planner,"ТОО Wabtec Corporation, ТМ (Филиал компании «Транспортейшн Глоубэл Эл-Эл-Си»в Республике Казахстан)",Нур-Султан,,,,https://hh.kz/vacancy/52207430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Аналитик данных,ТОО Astana-Plat,Алматы,,,,https://hh.kz/vacancy/52143781?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Account Manager,ТОО Glovo Kazakhstan,Алматы,,,,https://hh.kz/vacancy/52173960?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Senior Accountant with taxation,ТОО Eiger,Алматы,,,,https://hh.kz/vacancy/52189330?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Finance Controller,ТОО KAZ Minerals Management,Алматы,,,,https://hh.kz/vacancy/52106254?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SAP Success Factors Employee Central (EC) Consultant (Remote),ТОО iQ-SOLUTIONS,Атырау,,,,https://hh.kz/vacancy/52109675?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Intern in the Quality Department,GSK,Алматы,,,,https://hh.kz/vacancy/52305369?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Commercial assistant,ТОО Ред Булл Казахстан,"Алматы, Драмтеатр имени Ауэзова",,,,https://hh.kz/vacancy/52087047?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product Development Specialist Cucurbits & Solanaceae Open Field,Syngenta,Алматы,,,,https://hh.kz/vacancy/50849514?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Finance Business Partner (Outsource),"TEVA Pharmaceuticals Industries Ltd., ТМ",Алматы,,,,https://hh.kz/vacancy/52078835?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Product Development Specialist Cucurbits & Solanaceae Open Field,Syngenta,Шымкент,,,,https://hh.kz/vacancy/50849600?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Медиа и диджитал менеджер FMCG,ТОО Manpower,Алматы,,,,https://hh.kz/vacancy/52078084?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Demand Planning Specialist,ТОО LG Electronics Almaty Kazakhstan,Алматы,,,,https://hh.kz/vacancy/52065601?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Manager (Valuation, Modelling & Economics) within Strategy and Transactions",ТОО EY (Ernst & Young),Алматы,,,,https://hh.kz/vacancy/52055297?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Consultant, Legal Group, Tax &Legal Department",ТОО KPMG,Алматы,,,,https://hh.kz/vacancy/50211760?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
"Senior Consultant, Legal Group, Tax &Legal Department",ТОО KPMG,Нур-Султан,,,,https://hh.kz/vacancy/50211761?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
SEO оптимизатор (Стажер),ИП Мухаметжанов А.,Петропавловск,,,,https://hh.kz/vacancy/52058449?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
PSI-AB Analyst,"FIRCROFT ENGINEERING SERVICES LIMITED, KAZAKHSTAN",Атырау,,,,https://hh.kz/vacancy/52039146?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
Project Engineer,ТОО Brunel Atyrau LLP,Актау,,,,https://hh.kz/vacancy/52087582?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=analytics
